title,date,president,url,question_order,interview_question,interview_answer,gpt3.5_summary,gpt3.5_prediction,question,annotator_id,annotator1,annotator2,annotator3,inaudible,multiple_questions,affirmative_questions,index,clarity_label,evasion_label
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-the-national-press-club,0,"Q. Mr. President, are you sorry that more countries did not take a more active part in the effort to help South Vietnam?","
THE PRESIDENT. Yes. We need all the help we can get. I wish that every country that did participate could have participated more. I wish all of the signatories to the SEATO Treaty could have actively helped more.
PROBLEMS OF WORLD POPULATION
[14.] Part of the question of yours I don't think I answered a moment ago. I do think we have got serious problems of world population. When I came into office we were spending about $6 million a year on the population question. This year it is about $166 million. It is not a question though of the dollars you spend; it is attitudes, policies of government, and opinions and so on and so forth.
I do think that we must do something about the population problem as well as the food problem. I am very proud that the basic industry of agriculture has been able, up to now, to produce much more food than we can consume in this country and do it at a much lower percentage of the total dollar that is spent for food than we have ever done before. I think it is a great tribute to agriculture.
I was pointing that out to Secretary Hardin, who is a scientist and who comes from the University of Nebraska, a very able man who is going to be Secretary of Agriculture.14 That is one of the problems he is going to deal with.
14 Clifford M. Hardin, Secretary of Agriculture designate.
We have not learned yet how to master the distribution system. I think it is a tragedy that here we live in the midst of plenty, with more than we can eat and a great deal more, as you can observe, than we should eat, and so many of our fellow human beings are starving throughout the world.
I had great doubts about making $1 billion worth of wheat available to India, almost $1 billion. I had an extended discussion with the Cabinet. I finally appointed George Ball15 to come and make an argument against it so I could hear all the reasons why it shouldn't be done, and he did.
15George W. Ball, former Under Secretary of State. For the President's special message to the Congress on food for India and for his statement upon signing a joint resolution providing additional emergency food aid for India, see 1967 volume, this series. Book I, Items 33 and 153.
While I was considering it he called me the next day and said: ""I made that argument against it because you asked me to. But the more I have thought about it the more I think you ought to go ahead with your original inclination."" So we did.
It has been one of the decisions that I have been very proud of. I wish that we could feel that we could do more in the way of using our surplus capacity to produce food and to distribute it where it is needed. I think it is tragic that we live in a world where every person doesn't have all the food they need. And there are many people in this country who don't have it. We are trying to face up to it some.
We have greatly extended it through the Food Stamp plan, through Public Law 480,16 but we have not scratched the surface. We have not done near enough. We are still in the horse and buggy days. And it is not Christian. It is almost criminal to have the capacity to produce what we have and not know any more about how to distribute it and get it to the people who need it.
16For remarks and a statement by the President upon signing the extension of Public Law 480 (the Agricultural Trade Development and Assistance Act of 1954) and the 1968 amendments to the Food Stamp Act of 1964, see Items 417, 519.
I think that we are going to be held accountable and we ought to face up to that problem. It is one of the big problems for this administration. It is a problem I did not solve. I think we have made some progress, some headway, but we have not found the answers.
BALANCE OF PAYMENTS
[15.]  ",,,Are you sorry that more countries did not take a more active part in the effort to help South Vietnam?,,,,,,,,10,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-965,0,"
Q. Are you going to do it now?","
The President. What? ",,,Are you going to do it now?,,,,,,,,11,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-128,0,"
Q. You have said the Ford administration is the only one that has done anything.","
THE PRESIDENT. Anything that's required that companies put their name on the line that they participated or had received information, that is correct.
ARAB OIL EMBARGO
[9.]  ",,,You have said the Ford administration is the only one that has done anything.,,,,,,,,12,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vicente-fox-quesada-mexico-and-prime,0,"
Q. Mr. President, can you explain to Canadians——","
President Bush. Which one? ",,,Can you explain to Canadians——,,,,,,,,13,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-klaus-iohannis-romania,0,"
Q. When is that? Is that in public?","
President Trump. Okay? Do you have a question here? ",,,When is that?,,,,,,,,14,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-klaus-iohannis-romania,1,"
Q. When is that? Is that in public?","
President Trump. Okay? Do you have a question here? ",,,Is that in public?,,,,,,,,15,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-yitzhak-rabin-israel-kennebunkport,0,"
Q. Mr. President, you spoke of a strategic partnership between the two countries. I was wondering if you could elaborate a bit and tell us if you believe Israel has strategic importance to the United States in the aftermath of the cold war.","
The President. I do, and I think that when we talk about militarily qualitative edge, that is a longstanding position of the United States. We will continue to uphold it. Israel is a democracy surrounded by countries that aren't, and they have been loyal and staunch friends.
My responsibilities as for President of the United States and the security of this country relate to the fact that nobody knows where the next crisis could come. You rely on friends in a crisis. Israel is not only important as a friend, but they have demonstrated strategic reliability. So I don't care to elaborate any more, but I just would reemphasize the fact that it is not only historic friendship based on democracy, but it is in the interest of the United States. It is in our security interest to retain the kind of relationship we have militarily and every other way with Israel.
Palestinians ",,,Could you elaborate on the strategic partnership between the two countries?,,,,,,,,16,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-yitzhak-rabin-israel-kennebunkport,1,"
Q. Mr. President, you spoke of a strategic partnership between the two countries. I was wondering if you could elaborate a bit and tell us if you believe Israel has strategic importance to the United States in the aftermath of the cold war.","
The President. I do, and I think that when we talk about militarily qualitative edge, that is a longstanding position of the United States. We will continue to uphold it. Israel is a democracy surrounded by countries that aren't, and they have been loyal and staunch friends.
My responsibilities as for President of the United States and the security of this country relate to the fact that nobody knows where the next crisis could come. You rely on friends in a crisis. Israel is not only important as a friend, but they have demonstrated strategic reliability. So I don't care to elaborate any more, but I just would reemphasize the fact that it is not only historic friendship based on democracy, but it is in the interest of the United States. It is in our security interest to retain the kind of relationship we have militarily and every other way with Israel.
Palestinians ",,,Do you believe Israel has strategic importance to the United States in the aftermath of the Cold War?,,,,,,,,17,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-brian-mulroney-canada-camp-david,0,"
Q. Still any problems that have to be worked out?","
The President. None. Well, once in a while you can run into a little hiccup, a little bump in the road. Once in a while we've had some differences on trading problems. But look, you've got to look at the big picture. And the relationship is outstanding. It's important. I mean, it is vitally important to the United States. It's important today, was yesterday, will be tomorrow. And so it really is fundamentally sound and good and strong.
[At this point, a question was asked and answered in French, and a translation was not provided.]
Iraq ",,,Still any problems that have to be worked out?,,,,,,,,18,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-enrique-pena-nieto-mexico,0,"
Q. Yes. Good afternoon, Mr. Presidents. Both governments have expressed that they are in favor of the free market and globalization. We've heard some voices that oppose themselves to this paradigm. Candidate Trump has pointed out that he is inclined towards protectionism. My question is, do the legal mechanisms of NAFTA provide it with strength so that it is not put aside by decree?
And, President Obama, I'd like to ask you what pending issues you have in your administration that you would have liked to complete? Thank you.","
President Peña Nieto. I think the free market model of commercial trade openness, this model has undoubtedly shown enormous benefits for nations, for those of us that follow this model, of course. And let me just say that as of the agreement signed with the United States and Canada—I'm talking about NAFTA, of course—the trade level grew over 500 percent—547 percent to be exact—in this last 20 years of NAFTA. And this undoubtedly is reflected in more productive investments, in the creation of jobs as well. And it has promoted different projects for the development of infrastructure to make our countries even more competitive.
I also think that what is happening is that whenever we've had a slowdown process in the world economy, we start questioning the model, no doubt. However—and this is something I'm fully convinced of—no doubt that this model Mexico has followed and promoted and fostered, well, it has had a particularly important strategic partnership with the U.S. and Canada.
This is a model that still promises a lot of things, so much for the benefits of our citizens, because it allows us to consolidate the North American region as a more competitive region, with a lot more investment, and which we are really taking advantage of opportunities to build labor possibilities for our peoples. This is really something we have to highlight and underline.
And bear in mind, because it represents so much and this agreement is projecting into the future, of course—free trade, of course. Right now we can say that this is something that we have had now for 20 years. And I think there are also conditions to modernize, to update, and to find more advantages so that it will potentiate shared common possibilities that we, the three partners, the three strategic partners, have. I am talking about Mexico, the United States, and Canada.
I believe that this agreement, which is also strengthened through TPP, which is now about to be approved in the different countries, undoubtedly, they potentialize, they boost, and they create a highly promising platform for economic development and for the benefits this will constitute for our societies.
I think the mechanism of solidarity and the purpose—I think the position of the United States is that after 20 years of having NAFTA, we now have eventually the conditions to modernize it, to update NAFTA, and potentialize this agreement even more. 
President Obama. I agree with Enrique that one of the values of the Trans-Pacific Partnership, TPP, is that we've learned from our experience in NAFTA what's worked, what hasn't, where we can strengthen it. And a number of the provisions inside of the Trans-Pacific Partnership address some previous criticisms of NAFTA and will make what is already an extraordinarily strong economic relationship between our two countries even stronger and will make sure that the process of global integration is serving not just large companies, but is helping small companies and small businesses and workers.
So what I've said consistently is that globalization is a fact—because of technology, because of an integrated global supply chain, because of changes in transportation. And we're not going to be able to build a wall around that. What we can do is to shape how that process of global integration proceeds so that it's increasing opportunity for ordinary people; so that it's creating better jobs; so that we are strengthening protections for workers; so that we are addressing some of the environmental challenges that come with rapid growth.
And for us to look forward and find ways in which we shape this new direction of the global economy in a way that benefits everybody, rather than to look backwards and think that we can undo what has taken place, I think is our best strategy.
And for all the talk about starting trade wars or increasing protectionist barriers between countries, when you actually examine how our economies work—auto plants in the United States, for example, would have a very hard time producing the number of automobiles they produce—and they've been having record years over the last several years—if they're also not getting some supplies from companies in Mexico. And companies in Mexico are not going to do well if they don't have some connection to not just markets, but also suppliers and technology from the United States.
So we have to focus on, how do we ensure the economy works for everybody and not just a few? There are dangers that globalization increased inequality. There are dangers that because capital is mobile and workers are not, if we are not providing them sufficient protection that they can be left behind in this process. And that's what we have to focus on. And the Trans-Pacific Partnership is consistent with that. Okay?
Juliet Eilperin [Washington Post].
Turkey ",,,Do the legal mechanisms of NAFTA provide it with strength so that it is not put aside by decree?,,,,,,,,19,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-enrique-pena-nieto-mexico,1,"
Q. Yes. Good afternoon, Mr. Presidents. Both governments have expressed that they are in favor of the free market and globalization. We've heard some voices that oppose themselves to this paradigm. Candidate Trump has pointed out that he is inclined towards protectionism. My question is, do the legal mechanisms of NAFTA provide it with strength so that it is not put aside by decree?
And, President Obama, I'd like to ask you what pending issues you have in your administration that you would have liked to complete? Thank you.","
President Peña Nieto. I think the free market model of commercial trade openness, this model has undoubtedly shown enormous benefits for nations, for those of us that follow this model, of course. And let me just say that as of the agreement signed with the United States and Canada—I'm talking about NAFTA, of course—the trade level grew over 500 percent—547 percent to be exact—in this last 20 years of NAFTA. And this undoubtedly is reflected in more productive investments, in the creation of jobs as well. And it has promoted different projects for the development of infrastructure to make our countries even more competitive.
I also think that what is happening is that whenever we've had a slowdown process in the world economy, we start questioning the model, no doubt. However—and this is something I'm fully convinced of—no doubt that this model Mexico has followed and promoted and fostered, well, it has had a particularly important strategic partnership with the U.S. and Canada.
This is a model that still promises a lot of things, so much for the benefits of our citizens, because it allows us to consolidate the North American region as a more competitive region, with a lot more investment, and which we are really taking advantage of opportunities to build labor possibilities for our peoples. This is really something we have to highlight and underline.
And bear in mind, because it represents so much and this agreement is projecting into the future, of course—free trade, of course. Right now we can say that this is something that we have had now for 20 years. And I think there are also conditions to modernize, to update, and to find more advantages so that it will potentiate shared common possibilities that we, the three partners, the three strategic partners, have. I am talking about Mexico, the United States, and Canada.
I believe that this agreement, which is also strengthened through TPP, which is now about to be approved in the different countries, undoubtedly, they potentialize, they boost, and they create a highly promising platform for economic development and for the benefits this will constitute for our societies.
I think the mechanism of solidarity and the purpose—I think the position of the United States is that after 20 years of having NAFTA, we now have eventually the conditions to modernize it, to update NAFTA, and potentialize this agreement even more. 
President Obama. I agree with Enrique that one of the values of the Trans-Pacific Partnership, TPP, is that we've learned from our experience in NAFTA what's worked, what hasn't, where we can strengthen it. And a number of the provisions inside of the Trans-Pacific Partnership address some previous criticisms of NAFTA and will make what is already an extraordinarily strong economic relationship between our two countries even stronger and will make sure that the process of global integration is serving not just large companies, but is helping small companies and small businesses and workers.
So what I've said consistently is that globalization is a fact—because of technology, because of an integrated global supply chain, because of changes in transportation. And we're not going to be able to build a wall around that. What we can do is to shape how that process of global integration proceeds so that it's increasing opportunity for ordinary people; so that it's creating better jobs; so that we are strengthening protections for workers; so that we are addressing some of the environmental challenges that come with rapid growth.
And for us to look forward and find ways in which we shape this new direction of the global economy in a way that benefits everybody, rather than to look backwards and think that we can undo what has taken place, I think is our best strategy.
And for all the talk about starting trade wars or increasing protectionist barriers between countries, when you actually examine how our economies work—auto plants in the United States, for example, would have a very hard time producing the number of automobiles they produce—and they've been having record years over the last several years—if they're also not getting some supplies from companies in Mexico. And companies in Mexico are not going to do well if they don't have some connection to not just markets, but also suppliers and technology from the United States.
So we have to focus on, how do we ensure the economy works for everybody and not just a few? There are dangers that globalization increased inequality. There are dangers that because capital is mobile and workers are not, if we are not providing them sufficient protection that they can be left behind in this process. And that's what we have to focus on. And the Trans-Pacific Partnership is consistent with that. Okay?
Juliet Eilperin [Washington Post].
Turkey ",,,"President Obama, what pending issues do you have in your administration that you would have liked to complete?",,,,,,,,20,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-last-news-conference,0,"
Q. We understand that you have had a number of offers ?","
THE PRESIDENT. That's correct. That's correct. But I haven't made up my mind on just what I am going to do.
[18.]  ",,,We understand that you have had a number of offers?,,,,,,,,21,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-saad-al-hariri-lebanon,0,"
Q. And about his role in Syria and the region?","
President Trump. Whose role? ",,,And about his role in Syria and the region?,,,,,,,,22,,
,,,https://www.presidency.ucsb.edu/documents/excerpts-from-the-last-press-conference-warm-springs-georgia,0,"
Q. They don't decide anything, do they?
THE ","PRESIDENT: No.
 ",,,"They don't decide anything, do they?",,,,,,,,23,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-1215,0,"Q. Mr. President, do we have any reason to believe that the Vietcong offer to exchange prisoners had any substance to it?","
THE PRESIDENT. I don't think I would want to comment on that kind of a question.
PARIS PEACE TALKS
[11]  ",,,Do we have any reason to believe that the Vietcong offer to exchange prisoners had any substance to it?,,,,,,,,24,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-ehud-olmert-israel,0,"
Q. You said you wanted to hear more. Is there anything that worries you about this plan?","
President Bush. No, the only thing that worries me about the plan is that Hamas has said they want to destroy Israel. And the reason that worries me is how can you have two states side by side in peace if one of the partners does not recognize the other state's right to exist? It's illogical for somebody to say, I'm for a state side by side with another state, and yet I don't want the state to exist. And so we spent time talking about Hamas, and I assured the Prime Minister that our position is steady and strong, that Hamas must change.
Now, we care about the Palestinian people—and I say, ""we,"" both of us—he can speak for himself on this issue—but we are trying to set up a mechanism that supports the Palestinian people. Our beef is not with the Palestinian people. Our beef is with the Government that—a group in the Government that says they don't recognize Israel. And so the United States, we're working with the Europeans—Condi's people in the State Department are working with the Europeans to come up with a mechanism to get food and medicine and aid to the Palestinians.
You may want to comment on it yourself, Mr. Prime Minister.
Prime Minister Olmert. Thank you, Mr. President. Indeed, the Government, Sunday, decided to spend 50 million shekels buying medical equipment—50 million shekels, about $11 million—for the time being, to buy medical equipment and drugs needed for the hospitals in Gaza. And as I said during the Cabinet meeting, we will spend any amount of money needed in order to save lives of innocent Palestinians suffering from the indifference of their Government. We will not hesitate to do it. We will use the revenues that we have collected, and more if necessary. We will make arrangements, together with our friends, so that the supplies will arrive directly to those who need them.
This is a humanitarian commitment. We are absolutely committed to help innocent people that suffer from the brutality and the intransigence of their own Government, and we will continue to do it at all times.
Thank you, Mr. President.
Iran ",,,You said you wanted to hear more.,,,,,,,,25,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-prime-minister-ehud-olmert-israel,1,"
Q. You said you wanted to hear more. Is there anything that worries you about this plan?","
President Bush. No, the only thing that worries me about the plan is that Hamas has said they want to destroy Israel. And the reason that worries me is how can you have two states side by side in peace if one of the partners does not recognize the other state's right to exist? It's illogical for somebody to say, I'm for a state side by side with another state, and yet I don't want the state to exist. And so we spent time talking about Hamas, and I assured the Prime Minister that our position is steady and strong, that Hamas must change.
Now, we care about the Palestinian people—and I say, ""we,"" both of us—he can speak for himself on this issue—but we are trying to set up a mechanism that supports the Palestinian people. Our beef is not with the Palestinian people. Our beef is with the Government that—a group in the Government that says they don't recognize Israel. And so the United States, we're working with the Europeans—Condi's people in the State Department are working with the Europeans to come up with a mechanism to get food and medicine and aid to the Palestinians.
You may want to comment on it yourself, Mr. Prime Minister.
Prime Minister Olmert. Thank you, Mr. President. Indeed, the Government, Sunday, decided to spend 50 million shekels buying medical equipment—50 million shekels, about $11 million—for the time being, to buy medical equipment and drugs needed for the hospitals in Gaza. And as I said during the Cabinet meeting, we will spend any amount of money needed in order to save lives of innocent Palestinians suffering from the indifference of their Government. We will not hesitate to do it. We will use the revenues that we have collected, and more if necessary. We will make arrangements, together with our friends, so that the supplies will arrive directly to those who need them.
This is a humanitarian commitment. We are absolutely committed to help innocent people that suffer from the brutality and the intransigence of their own Government, and we will continue to do it at all times.
Thank you, Mr. President.
Iran ",,,Is there anything that worries you about this plan?,,,,,,,,26,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-126,0,"
Q. Are you willing to risk another jolt to the economy from this large price increase?","
THE PRESIDENT. I think a bigger jolt would be to have the jobs lost and the
houses cold. 
PRESIDENTIAL CAMPAIGN THEMES
[17.]  ",,,Are you willing to risk another jolt to the economy from this large price increase?,,,,,,,,27,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-last-news-conference,0,"
Q. You mean that you are not going to write them immediately ?","
THE PRESIDENT. No. ",,,You mean that you are not going to write them immediately?,,,,,,,,28,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-last-news-conference,0,"
Q. How far will that extend--off the Continental Shelf?","
THE PRESIDENT. Yes, that's the point where I laid claim to the jurisdiction of the United States--the Continental Shelf. ",,,How far will that extend--off the Continental Shelf?,,,,,,,,29,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-last-news-conference,0,Q. Do you think the return of the Republicans to power means a realignment of the political parties after the 4 years?,"
THE PRESIDENT. No, I don't. ",,,Do you think the return of the Republicans to power means a realignment of the political parties after the 4 years?,,,,,,,,30,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-augusta-georgia,0,"
Q. Felix Belair, New York Times: Mr. President, are there any estimates at all of the amount potentially that might be saved as a result of the directives being issued today?","
THE PRESIDENT. Well, I didn't ask for that estimate, Felix, but-(confers with Mr. Hagerty)--I just hear from Jim that the Treasury Department is actually trying to make such an estimate today and later in the day may be able to give you such an estimate. I do know that as of now we have about a half million dependents in the Military Establishment abroad. This is a rather expensive business. No one likes to break up families, but when you are sending out gold dollars all the time--that's what they are now under the present situation--why we have to set a limit, and that is what we are trying to do. ",,,Are there any estimates at all of the amount potentially that might be saved as a result of the directives being issued today?,,,,,,,,31,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vladimir-putin-russia-moscow,0,"
Q. Mr. President, do you see the chance that the United States would exercise its option to withdraw from the Anti-Ballistic Missile Treaty if it is not possible to negotiate changes to permit a national missile defense? And was this possibility raised in your discussions with President Putin?","
President Clinton. Well, first of all, I have not made a decision on the national missile defense stage one. It is premature. The statement of principles that we have agreed to I thought reflected an attempt to bring our positions closer together. I do not believe the decision before me is a threat to strategic stability and mutual deterrence. The Russian side disagrees. But we had a lot of agreement here.And again, let me say, I urge you all to read that.
I do not want the United States to withdraw from the ABM regime, because I think it has contributed to a more stable, more peaceful world. It has already been amended once, and its framers understood that circumstances might change and threats might arise which were outside the context of U.S.-now Russian relations. We acknowledge that there is a threat. It needs to be met, and we're trying to bridge our differences. And I think that's where we ought to leave it.
START Treaties ",,,Do you see the chance that the United States would exercise its option to withdraw from the Anti-Ballistic Missile Treaty if it is not possible to negotiate changes to permit a national missile defense?,,,,,,,,32,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-vladimir-putin-russia-moscow,1,"
Q. Mr. President, do you see the chance that the United States would exercise its option to withdraw from the Anti-Ballistic Missile Treaty if it is not possible to negotiate changes to permit a national missile defense? And was this possibility raised in your discussions with President Putin?","
President Clinton. Well, first of all, I have not made a decision on the national missile defense stage one. It is premature. The statement of principles that we have agreed to I thought reflected an attempt to bring our positions closer together. I do not believe the decision before me is a threat to strategic stability and mutual deterrence. The Russian side disagrees. But we had a lot of agreement here.And again, let me say, I urge you all to read that.
I do not want the United States to withdraw from the ABM regime, because I think it has contributed to a more stable, more peaceful world. It has already been amended once, and its framers understood that circumstances might change and threats might arise which were outside the context of U.S.-now Russian relations. We acknowledge that there is a threat. It needs to be met, and we're trying to bridge our differences. And I think that's where we ought to leave it.
START Treaties ",,,Was this possibility raised in your discussions with President Putin?,,,,,,,,33,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-965,0,"
Q. In light of his speech yesterday at the U.N., are there any new steps that we can take to continue the arms reduction process?","
The President. Oh, yes. We have long said that as soon as we once settle this issue of the START agreement—I have said that I think our next goal must be to now engage in negotiations on reducing conventional weapons. ",,,"In light of his speech yesterday at the U.N., are there any new steps that we can take to continue the arms reduction process?",,,,,,,,34,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-865,0,"
Q. Does your note establish a precedent--asking for a conference with your successor?","
THE PRESIDENT. I'm sure I have no idea. But I am glad to cooperate in any matter that concerns national solidarity. ",,,Does your note establish a precedent--asking for a conference with your successor?,,,,,,,,35,,
,,,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-with-president-andres-pastrana-colombia-cartagena,0,"
Q. President Clinton, is there a specific situation in which the U.S. Government might consider perhaps giving Colombia military support to fight the guerrillas?","
President Clinton. Our involvement is laid out in the terms of Plan Colombia. The President has developed this plan with his team, and it does not contemplate that. And so, the answer is no. That's not authorized by what we did.
What we want to do is to increase the capacity of the Colombian Government to fight the narcotraffickers and, in so doing, to reduce anyone else's income from illegal drug trade and increase the leverage that the President has to find a peaceful resolution of the civil conflict. And that is his policy, not my policy. I'm supporting his policy. 
President Pastrana. Once again, in order to make it very clear, while Andres Pastrana is the President of Colombia, we will not have a foreign military intervention in Colombia.
Plan Colombia and Human Rights ",,,Is there a specific situation in which the U.S. Government might consider giving Colombia military support to fight the guerrillas?,,,,,,,,36,,
